
2024/04/22 (20:20:02) | ===> btop++ v.1.3.2
2024/04/22 (20:20:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (20:20:02) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/22 (20:20:02) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/22 (20:20:02) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/22 (20:20:02) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/24 (19:54:44) | ===> btop++ v.1.3.2
2024/04/24 (19:54:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (19:54:44) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/24 (19:54:44) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/24 (19:54:44) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/24 (19:54:44) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/27 (10:33:01) | ===> btop++ v.1.3.2
2024/04/27 (10:33:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/27 (10:33:01) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/27 (10:33:01) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/27 (10:33:01) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state

2024/09/25 (17:14:56) | ===> btop++ v.1.3.2
2024/09/25 (17:14:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (17:15:55) | ===> btop++ v.1.3.2
2024/09/25 (17:15:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (21:07:56) | ===> btop++ v.1.4.0
2024/09/26 (21:07:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:12:19) | ===> btop++ v.1.4.0
2024/09/27 (22:12:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/29 (12:05:07) | ===> btop++ v.1.4.0
2024/09/29 (12:05:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (15:24:16) | ===> btop++ v.1.4.0
2024/10/14 (15:24:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (15:25:26) | ===> btop++ v.1.4.0
2024/10/14 (15:25:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/19 (19:21:28) | ===> btop++ v.1.4.0
2025/01/19 (19:21:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/20 (01:22:08) | ===> btop++ v.1.4.0
2025/01/20 (01:22:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/21 (11:23:54) | ===> btop++ v.1.4.0
2025/01/21 (11:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (16:58:50) | ===> btop++ v.1.4.0
2025/01/24 (16:58:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (17:05:32) | ===> btop++ v.1.4.0
2025/01/24 (17:05:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (17:05:48) | ===> btop++ v.1.4.0
2025/01/24 (17:05:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (17:35:38) | ===> btop++ v.1.4.0
2025/01/24 (17:35:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (15:44:32) | ===> btop++ v.1.4.0
2025/02/21 (15:44:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (14:10:21) | ===> btop++ v.1.4.0
2025/03/24 (14:10:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (14:20:14) | ===> btop++ v.1.4.0
2025/03/24 (14:20:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (14:22:23) | ===> btop++ v.1.4.0
2025/03/24 (14:22:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (17:17:13) | ===> btop++ v.1.4.0
2025/03/31 (17:17:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (17:18:02) | ===> btop++ v.1.4.0
2025/03/31 (17:18:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (20:30:42) | ===> btop++ v.1.4.0
2025/04/18 (20:30:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (20:32:08) | ===> btop++ v.1.4.0
2025/04/18 (20:32:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (20:32:33) | ===> btop++ v.1.4.0
2025/04/18 (20:32:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (20:32:49) | ===> btop++ v.1.4.0
2025/04/18 (20:32:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (20:33:30) | ===> btop++ v.1.4.0
2025/04/18 (20:33:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/21 (18:49:22) | ===> btop++ v.1.4.0
2025/04/21 (18:49:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (01:18:44) | ===> btop++ v.1.4.0
2025/04/22 (01:18:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (13:07:56) | ===> btop++ v.1.4.0
2025/04/22 (13:07:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (13:35:32) | ===> btop++ v.1.4.0
2025/04/22 (13:35:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (13:36:23) | ===> btop++ v.1.4.0
2025/04/22 (13:36:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
